100,Franklin Line,1,2,Franklin,42.083591,-71.396735,Trunk
101,Franklin Line,1,3,Norfolk,42.120694,-71.325217,Trunk
102,Franklin Line,1,4,Walpole,42.144192,-71.259016,Trunk
103,Franklin Line,1,5,Plimptonville,42.159123,-71.236125,Trunk
104,Franklin Line,1,6,Windsor Gardens,42.172192,-71.220704,Trunk
105,Franklin Line,1,7,Norwood Central,42.190776,-71.199748,Trunk
106,Franklin Line,1,8,Norwood Depot,42.195668,-71.196784,Trunk
107,Franklin Line,1,9,Islington,42.220714,-71.183406,Trunk
108,Franklin Line,1,10,Dedham Corp Center,42.225896,-71.173806,Trunk
109,Franklin Line,1,11,Endicott,42.232881,-71.160413,Trunk
110,Franklin Line,1,12,Readville,42.23775,-71.132376,Trunk
111,Franklin Line,1,13,Hyde Park,42.255121,-71.125022,Primary
112,Franklin Line,1,13,Fairmount,42.253638,-71.11927,Secondary
113,Franklin Line,1,14,Ruggles,42.335545,-71.090524,Primary
114,Franklin Line,1,14,Morton Street,42.280994,-71.085475,Secondary
115,Franklin Line,1,15,Back Bay,42.347158,-71.075769,Primary
116,Franklin Line,1,15,Talbot Avenue,42.292246,-71.07814,Secondary
117,Franklin Line,1,16,Uphams Corner,42.31867,-71.069072,Secondary
118,Franklin Line,1,17,South Station,42.352614,-71.055364,Trunk
119,Greenbush Line,0,1,South Station,42.352614,-71.055364,Trunk
120,Greenbush Line,0,2,JFK/UMASS,42.321123,-71.052555,Trunk
121,Greenbush Line,0,3,Quincy Center,42.250862,-71.004843,Trunk
122,Greenbush Line,0,4,Weymouth Landing/ East Braintree,42.2208,-70.9682,Trunk
123,Greenbush Line,0,5,East Weymouth,42.2191,-70.9214,Trunk
124,Greenbush Line,0,6,West Hingham,42.2367,-70.9031,Trunk
125,Greenbush Line,0,7,Nantasket Junction,42.2452,-70.8698,Trunk
126,Greenbush Line,0,8,Cohasset,42.2424,-70.837,Trunk
127,Greenbush Line,0,9,North Scituate,42.2197,-70.7877,Trunk
128,Greenbush Line,0,10,Greenbush,42.1781,-70.7462,Trunk
129,Greenbush Line,1,1,Greenbush,42.1781,-70.7462,Trunk
130,Greenbush Line,1,2,North Scituate,42.2197,-70.7877,Trunk
131,Greenbush Line,1,3,Cohasset,42.2424,-70.837,Trunk
132,Greenbush Line,1,4,Nantasket Junction,42.2452,-70.8698,Trunk
133,Greenbush Line,1,5,West Hingham,42.2367,-70.9031,Trunk
134,Greenbush Line,1,6,East Weymouth,42.2191,-70.9214,Trunk
135,Greenbush Line,1,7,Weymouth Landing/ East Braintree,42.2208,-70.9682,Trunk
136,Greenbush Line,1,8,Quincy Center,42.250862,-71.004843,Trunk
137,Greenbush Line,1,9,JFK/UMASS,42.321123,-71.052555,Trunk
138,Greenbush Line,1,10,South Station,42.352614,-71.055364,Trunk
139,Haverhill Line,0,1,North Station,42.365551,-71.061251,Trunk
140,Haverhill Line,0,2,West Medford,42.421184,-71.132468,Secondary
141,Haverhill Line,0,2,Malden Center,42.426407,-71.074227,Primary
142,Haverhill Line,0,3,Wyoming Hill,42.452097,-71.069518,Primary
143,Haverhill Line,0,3,Wedgemere,42.445284,-71.140909,Secondary
144,Haverhill Line,0,4,Melrose Cedar Park,42.459128,-71.069448,Primary
145,Haverhill Line,0,4,Winchester Center,42.45265,-71.137041,Secondary
146,Haverhill Line,0,5,Anderson/Woburn,42.518082,-71.13865,Secondary
147,Haverhill Line,0,5,Melrose Highlands,42.468793,-71.06827,Primary
148,Haverhill Line,0,6,Greenwood,42.483473,-71.067233,Primary
149,Haverhill Line,0,6,Wilmington,42.546368,-71.173569,Secondary
150,Haverhill Line,0,7,Wakefield,42.501811,-71.075,Primary
151,Haverhill Line,0,8,Reading,42.52148,-71.10744,Primary
152,Haverhill Line,0,11,North Wilmington,42.568462,-71.159724,Primary
153,Haverhill Line,0,12,Ballardvale,42.626449,-71.159653,Trunk
154,Haverhill Line,0,13,Andover,42.657798,-71.144513,Trunk
155,Haverhill Line,0,14,Lawrence,42.70185,-71.151967,Trunk
156,Haverhill Line,0,15,Bradford,42.768899,-71.085998,Trunk
157,Haverhill Line,0,16,Haverhill,42.772684,-71.085962,Trunk
158,Haverhill Line,1,1,Haverhill,42.772684,-71.085962,Trunk
159,Haverhill Line,1,2,Bradford,42.768899,-71.085998,Trunk
160,Haverhill Line,1,3,Lawrence,42.70185,-71.151967,Trunk
161,Haverhill Line,1,4,Andover,42.657798,-71.144513,Trunk
162,Haverhill Line,1,5,Ballardvale,42.626449,-71.159653,Trunk
163,Haverhill Line,1,6,North Wilmington,42.568462,-71.159724,Trunk
164,Haverhill Line,1,7,Wilmington,42.546368,-71.173569,Secondary
165,Haverhill Line,1,8,Anderson/Woburn,42.518082,-71.13865,Secondary
166,Haverhill Line,1,9,Winchester Center,42.45265,-71.137041,Secondary
167,Haverhill Line,1,9,Reading,42.52148,-71.10744,Primary
168,Haverhill Line,1,10,Wedgemere,42.445284,-71.140909,Secondary
169,Haverhill Line,1,10,Wakefield,42.501811,-71.075,Primary
170,Haverhill Line,1,11,Greenwood,42.483473,-71.067233,Primary
171,Haverhill Line,1,11,West Medford,42.421184,-71.132468,Secondary
172,Haverhill Line,1,12,Melrose Highlands,42.468793,-71.06827,Primary
173,Haverhill Line,1,13,Melrose Cedar Park,42.459128,-71.069448,Primary
174,Haverhill Line,1,14,Wyoming Hill,42.452097,-71.069518,Primary
175,Haverhill Line,1,15,Malden Center,42.426407,-71.074227,Primary
176,Haverhill Line,1,16,North Station,42.365551,-71.061251,Trunk
177,Kingston/Plymouth Line,0,1,South Station,42.352614,-71.055364,Trunk
178,Kingston/Plymouth Line,0,2,JFK/UMASS,42.321123,-71.052555,Trunk
179,Kingston/Plymouth Line,0,3,Quincy Center,42.250862,-71.004843,Trunk
180,Kingston/Plymouth Line,0,4,Braintree,42.20855,-71.00085,Trunk
181,Kingston/Plymouth Line,0,11,South Weymouth,42.153747,-70.95249,Trunk
182,Kingston/Plymouth Line,0,12,Abington,42.108034,-70.935296,Trunk
183,Kingston/Plymouth Line,0,13,Whitman,42.083563,-70.923204,Trunk
184,Kingston/Plymouth Line,0,14,Hanson,42.043262,-70.881553,Trunk
185,Kingston/Plymouth Line,0,15,Halifax,42.012867,-70.820832,Trunk
186,Kingston/Plymouth Line,0,17,Plymouth,41.981184,-70.692514,Secondary
187,Kingston/Plymouth Line,0,17,Kingston,41.978548,-70.720315,Primary
188,Kingston/Plymouth Line,1,2,Plymouth,41.981184,-70.692514,Secondary
189,Kingston/Plymouth Line,1,2,Kingston,41.978548,-70.720315,Primary
190,Kingston/Plymouth Line,1,3,Halifax,42.012867,-70.820832,Trunk
191,Kingston/Plymouth Line,1,4,Hanson,42.043262,-70.881553,Trunk
192,Kingston/Plymouth Line,1,5,Whitman,42.083563,-70.923204,Trunk
193,Kingston/Plymouth Line,1,6,Abington,42.108034,-70.935296,Trunk
194,Kingston/Plymouth Line,1,7,South Weymouth,42.153747,-70.95249,Trunk
195,Kingston/Plymouth Line,1,14,Braintree,42.20855,-71.00085,Trunk
196,Kingston/Plymouth Line,1,15,Quincy Center,42.250862,-71.004843,Trunk
197,Kingston/Plymouth Line,1,16,JFK/UMASS,42.321123,-71.052555,Trunk
198,Kingston/Plymouth Line,1,17,South Station,42.352614,-71.055364,Trunk
199,Lowell Line,0,1,North Station,42.365551,-71.061251,Trunk
200,Lowell Line,0,2,West Medford,42.421184,-71.132468,Trunk
201,Lowell Line,0,3,Wedgemere,42.445284,-71.140909,Trunk
202,Lowell Line,0,4,Winchester Center,42.45265,-71.137041,Trunk
203,Lowell Line,0,5,Mishawum,42.503595,-71.137511,Trunk
204,Lowell Line,0,6,Anderson/Woburn,42.518082,-71.13865,Trunk
205,Lowell Line,0,7,Wilmington,42.546368,-71.173569,Trunk
206,Lowell Line,0,9,North Billerica,42.592881,-71.280869,Trunk
207,Lowell Line,0,10,Lowell,42.638402,-71.314916,Trunk
208,Lowell Line,1,1,Lowell,42.638402,-71.314916,Trunk
209,Lowell Line,1,2,North Billerica,42.592881,-71.280869,Trunk
210,Lowell Line,1,4,Wilmington,42.546368,-71.173569,Trunk
211,Lowell Line,1,5,Anderson/Woburn,42.518082,-71.13865,Trunk
212,Lowell Line,1,6,Mishawum,42.503595,-71.137511,Trunk
213,Lowell Line,1,7,Winchester Center,42.45265,-71.137041,Trunk
214,Lowell Line,1,8,Wedgemere,42.445284,-71.140909,Trunk
215,Lowell Line,1,9,West Medford,42.421184,-71.132468,Trunk
216,Lowell Line,1,10,North Station,42.365551,-71.061251,Trunk
217,Middleborough/Lakeville Line,0,1,South Station,42.352614,-71.055364,Trunk
218,Middleborough/Lakeville Line,0,2,JFK/UMASS,42.321123,-71.052555,Trunk
219,Middleborough/Lakeville Line,0,3,Quincy Center,42.250862,-71.004843,Trunk
